sampleName	condition
HMW_4h_NC11	Treatment
LPS.PAM.HMW_2h_NC11	Treatment
LPS.PAM_6h_NC11	Treatment
LPS.PAM_4h_NC11	Treatment
Ctrl2_NC11	Control
LPS.HMW_4h_NC11	Treatment
PAM.HMW_4h_NC11	Treatment
LPS.PAM.HMW_4h_NC11	Treatment
LPS.PAM_2h_NC11	Treatment
Ctrl3_NC11	Control
HMW_6h_NC11	Treatment
PAM_4h_NC11	Treatment
LPS_2h_NC11	Treatment
LPS.HMW_6h_NC11	Treatment
LPS.PAM.HMW_6h_NC11	Treatment
HMW_2h_NC11	Treatment
PAM_2h_NC11	Treatment
Ctrl1_NC11	Control
LPS_4h_NC11	Treatment
PAM.HMW_2h_NC11	Treatment
PAM_6h_NC11	Treatment
LPS.HMW_2h_NC11	Treatment
PAM.HMW_6h_NC11	Treatment
LPS_6h_NC11	Treatment
