sampleName	Time	LPS	PAM	HMW
HMW_4h_NC11	4h	No_treatment	No_treatment	Treatment
LPS.PAM.HMW_2h_NC11	2h	Treatment	Treatment	Treatment
LPS.PAM_6h_NC11	6h	Treatment	Treatment	No_treatment
LPS.PAM_4h_NC11	4h	Treatment	Treatment	No_treatment
Ctrl2_NC11	0h	No_treatment	No_treatment	No_treatment
LPS.HMW_4h_NC11	4h	Treatment	No_treatment	Treatment
PAM.HMW_4h_NC11	4h	No_treatment	Treatment	Treatment
LPS.PAM.HMW_4h_NC11	4h	Treatment	Treatment	Treatment
LPS.PAM_2h_NC11	2h	Treatment	Treatment	No_treatment
Ctrl3_NC11	0h	No_treatment	No_treatment	No_treatment
HMW_6h_NC11	6h	No_treatment	No_treatment	Treatment
PAM_4h_NC11	4h	No_treatment	Treatment	No_treatment
LPS_2h_NC11	2h	Treatment	No_treatment	No_treatment
LPS.HMW_6h_NC11	6h	Treatment	No_treatment	Treatment
LPS.PAM.HMW_6h_NC11	6h	Treatment	Treatment	Treatment
HMW_2h_NC11	2h	No_treatment	No_treatment	Treatment
PAM_2h_NC11	2h	No_treatment	Treatment	No_treatment
Ctrl1_NC11	0h	No_treatment	No_treatment	No_treatment
LPS_4h_NC11	4h	Treatment	No_treatment	No_treatment
PAM.HMW_2h_NC11	2h	No_treatment	Treatment	Treatment
PAM_6h_NC11	6h	No_treatment	Treatment	No_treatment
LPS.HMW_2h_NC11	2h	Treatment	No_treatment	Treatment
PAM.HMW_6h_NC11	6h	No_treatment	Treatment	Treatment
LPS_6h_NC11	6h	Treatment	No_treatment	No_treatment
