dmel_unf1	dmel_unf2	dmel_unf3	dmel_inf1	dmel_inf2	dmel_inf3
FBgn0000003	209	164	143	162	80	151
FBgn0000008	572	467	580	509	435	297
FBgn0000014	387	276	383	289	237	141
FBgn0000015	158	123	157	117	110	70
FBgn0000017	2351	2126	2885	2896	2041	1467
FBgn0000018	368	296	314	318	272	169
FBgn0000022	3	1	1	3	0	10
FBgn0000024	509	349	450	337	328	212
FBgn0000028	14	14	21	14	13	12
FBgn0000032	2539	2548	2562	2430	2027	1531
FBgn0000036	76	75	85	74	64	35
FBgn0000037	88	65	97	104	83	45
FBgn0000038	443	413	569	384	390	202
FBgn0000039	77	67	105	71	83	58
FBgn0000042	68901	54711	60093	56583	51364	36427
FBgn0000043	7786	5582	6432	5547	5626	4125
FBgn0000044	32585	19542	29684	21643	21201	10263
FBgn0000045	32978	18189	36589	28101	26030	11177
FBgn0000046	7624	4851	8292	6599	6170	3210
FBgn0000047	69593	30212	50636	45708	36019	16791
FBgn0000052	3866	3281	3377	3001	2848	1587
FBgn0000053	4707	3146	3603	2695	2907	1365
FBgn0000054	1458	1314	1388	1597	1291	1026
FBgn0000055	54076	32937	33534	37437	25705	15504
FBgn0000056	395	403	414	424	278	117
FBgn0000057	1262	1066	1273	1296	1038	776
FBgn0000061	17	7	13	15	6	10
FBgn0000063	828	872	957	1027	784	619
FBgn0000064	41021	26280	26654	25619	22650	12771
FBgn0000071	185	165	219	89	153	135
FBgn0000075	155	132	146	94	185	34
FBgn0000077	523	390	418	345	385	299
FBgn0000078	6263	2090	1488	2461	1979	1827
FBgn0000079	31497	13980	12793	20400	14262	11698
FBgn0000083	6204	3991	4511	4350	4688	2909
FBgn0000084	2594	1625	1931	2093	2261	1248
FBgn0000092	244	57	120	152	513	50
FBgn0000094	0	0	0	0	1	2
FBgn0000097	1748	1605	1709	1760	1222	1037
FBgn0000099	483	327	413	310	333	196
FBgn0000100	40122	26837	32524	31368	28032	17225
FBgn0000108	880	694	893	688	713	408
FBgn0000109	600	454	527	475	418	269
FBgn0000114	13643	13555	14260	14982	10638	8414
FBgn0000115	1389	1019	1220	1361	1182	817
FBgn0000116	28655	17910	22409	18582	17110	9147
FBgn0000117	11759	9602	10685	11340	9216	6460
FBgn0000119	784	551	691	477	488	276
FBgn0000120	6518	4645	6750	4749	5572	2915
FBgn0000121	7068	5285	6589	4714	5827	3584
FBgn0000137	16	10	14	1	7	9
FBgn0000139	1227	1048	1087	1113	895	651
FBgn0000140	5463	6406	6124	6607	4778	3670
FBgn0000146	1998	1895	2030	1781	1639	1164
FBgn0000147	1809	1887	1774	1847	1471	1339
FBgn0000150	24383	17917	21487	23966	20273	12607
FBgn0000152	825	709	743	755	647	423
FBgn0000153	1754	842	1185	872	975	376
FBgn0000157	105	64	84	104	90	38
FBgn0000158	894	1013	912	1205	860	642
FBgn0000163	2690	2160	2521	1956	1835	1181
FBgn0000166	1830	1760	1995	2225	1615	1329
FBgn0000173	4468	3827	3960	3776	3414	2811
FBgn0000179	48	39	47	34	36	17
FBgn0000180	99	76	77	69	87	68
FBgn0000181	18499	15023	17546	19369	15020	12207
FBgn0000182	2143	7371	5774	4336	4324	13163
FBgn0000183	4919	5101	4988	5150	4013	3046
FBgn0000206	336	246	331	234	307	129
FBgn0000210	263	209	265	195	152	119
FBgn0000212	3682	3452	4014	4292	2927	2445
FBgn0000216	31	12	26	16	34	45
FBgn0000221	415	331	350	382	364	222
FBgn0000227	0	0	0	0	0	0
FBgn0000228	2107	1903	2102	2009	1571	1188
FBgn0000229	1171	863	993	760	727	608
FBgn0000233	26	14	23	19	16	7
FBgn0000239	5553	5239	5328	5394	4275	3123
FBgn0000241	132	58	99	165	211	98
FBgn0000244	1500	948	1171	1086	1020	609
FBgn0000246	950	1043	989	913	699	728
FBgn0000247	2003	1857	2003	1972	1552	989
FBgn0000250	6560	6195	6377	7984	6791	4829
FBgn0000251	2962	3014	3298	3962	2827	2087
FBgn0000253	17528	17239	16272	17221	12535	12007
FBgn0000256	1353	1057	1182	1199	1040	717
FBgn0000257	1093	911	990	1126	849	616
FBgn0000259	4418	4373	4623	4456	3329	3156
FBgn0000261	17286	7534	7492	8230	8018	5201
FBgn0000273	4047	3765	3903	4128	2852	2322
FBgn0000274	32	20	30	19	12	18
FBgn0000276	18	2	0	3946	8570	6607
FBgn0000277	10	2	2	4681	8543	6891
FBgn0000278	2	1	1	292	884	1061
FBgn0000279	24	9	5	2240	3384	2188
FBgn0000280	0	0	0	2	4	2
FBgn0000281	0	0	0	9	6	7
