route	type	cost.per.pax	ridership	pax.per.trip	cost.per.day	fare	revenue.per.day
1	Key	0.63	13306	416	8382.78	1.6	21289.6
4	Commuter	4.38	459	21	2010.42	3.65	1675.35
5	Community	2.99	156	5	466.44	1.6	249.6
7	Local	1.52	3893	177	5917.36	1.6	6228.8
8	Local	2.02	3844	85	7764.88	1.6	6150.4
9	Local	1.21	5980	187	7235.8	1.6	9568
10	Local	1.75	3184	398	5572	1.6	5094.4
11	Local	1.84	3312	237	6094.08	1.6	5299.2
14	Local	2.66	1285	22	3418.1	1.6	2056
15	Key	1.11	6227	111	6911.97	1.6	9963.2
16	Local	0.99	5100	2550	5049	1.6	8160
17	Local	0.71	3461	115	2457.31	1.6	5537.6
18	Local	2.71	630	16	1707.3	1.6	1008
19	Local	1.07	3591	211	3842.37	1.6	5745.6
21	Local	0.57	4696	90	2676.72	1.6	7513.6
22	Key	1.05	8151	170	8558.55	1.6	13041.6
23	Key	1	11687	899	11687	1.6	18699.2
24	Local	1.3	1725	21	2242.5	1.6	2760
26	Local	0.8	1960	41	1568	1.6	3136
27	Local	1.13	929	22	1049.77	1.6	1486.4
28	Key	0.8	13550	387	10840	1.6	21680
29	Local	1.71	2242	90	3833.82	1.6	3587.2
30	Local	1.17	2230	60	2609.1	1.6	3568
31	Local	1.07	4506	90	4821.42	1.6	7209.6
32	Key	1.02	10130	103	10332.6	1.6	16208
33	Local	1.67	1206	33	2014.02	1.6	1929.6
34	Local	2.43	5959	60	14480.37	1.6	9534.4
35	Local	1.75	2368	103	4144	1.6	3788.8
36	Local	1.47	3245	54	4770.15	1.6	5192
37	Local	2.1	1481	53	3110.1	1.6	2369.6
38	Local	2.29	1074	21	2459.46	1.6	1718.4
39	Key	0.72	15018	406	10812.96	1.6	24028.8
40	Local	1.54	1360	22	2094.4	1.6	2176
41	Local	1.84	2336	10	4298.24	1.6	3737.6
42	Local	0.8	2995	73	2396	1.6	4792
43	Local	1.93	1885	209	3638.05	1.6	3016
44	Local	1.28	3440	63	4403.2	1.6	5504
45	Local	1.53	3326	47	5088.78	1.6	5321.6
47	Local	1.41	4539	60	6399.99	1.6	7262.4
50	Local	1.74	1226	19	2133.24	1.6	1961.6
51	Local	1.95	1956	29	3814.2	1.6	3129.6
52	Local	4.97	747	22	3712.59	1.6	1195.2
55	Local	2.34	956	7	2237.04	1.6	1529.6
57	Key	0.86	12081	263	10389.66	1.6	19329.6
59	Local	2.71	1363	17	3693.73	1.6	2180.8
60	Local	2.99	1418	709	4239.82	1.6	2268.8
62	Local	2.53	1609	34	4070.77	1.6	2574.4
64	Local	2.33	1826	37	4254.58	1.6	2921.6
65	Local	1.43	2250	30	3217.5	1.6	3600
66	Key	0.79	13630	147	10767.7	1.6	21808
67	Local	2.98	666	4	1984.68	1.6	1065.6
68	Local	2.23	491	8	1094.93	1.6	785.6
69	Local	0.82	3131	10	2567.42	1.6	5009.6
70	Local	1.96	7021	195	13761.16	1.6	11233.6
71	Key	1.35	5488	157	7408.8	1.6	8780.8
72	Local	3.05	808	31	2464.4	1.6	1292.8
73	Key	1.75	5834	46	10209.5	1.6	9334.4
74	Local	2.34	1144	29	2676.96	1.6	1830.4
75	Local	1.88	556	4	1045.28	1.6	889.6
76	Local	3.67	1156	17	4242.52	1.6	1849.6
77	Key	1.95	7253	165	14143.35	1.6	11604.8
78	Local	3.6	1550	20	5580	1.6	2480
79	Local	3.05	1054	12	3214.7	1.6	1686.4
80	Local	2.35	1932	23	4540.2	1.6	3091.2
83	Local	1.49	2257	9	3362.93	1.6	3611.2
84	Commuter	2	356	9	712	3.65	1299.4
85	Local	1.82	599	33	1090.18	1.6	958.4
86	Local	1.07	5844	76	6253.08	1.6	9350.4
87	Local	1.17	3612	82	4226.04	1.6	5779.2
88	Local	0.89	3883	75	3455.87	1.6	6212.8
89	Local	1.01	3801	29	3839.01	1.6	6081.6
90	Local	1.75	1225	7	2143.75	1.6	1960
91	Local	1.01	1840	22	1858.4	1.6	2944
92	Local	2.68	1251	13	3352.68	1.6	2001.6
93	Local	1.03	4632	39	4770.96	1.6	7411.2
94	Local	2.02	1429	33	2886.58	1.6	2286.4
95	Local	2.2	1737	25	3821.4	1.6	2779.2
96	Local	2.09	1850	19	3866.5	1.6	2960
97	Local	2.12	841	4	1782.92	1.6	1345.6
99	Local	2.45	1452	12	3557.4	1.6	2323.2
100	Local	2.31	953	5	2201.43	1.6	1524.8
101	Local	1.04	4878	49	5073.12	1.6	7804.8
104	Local	0.9	4008	43	3607.2	1.6	6412.8
105	Local	1.91	983	11	1877.53	1.6	1572.8
106	Local	1.52	2682	47	4076.64	1.6	4291.2
108	Local	1.17	3166	15	3704.22	1.6	5065.6
109	Local	1.04	3697	127	3844.88	1.6	5915.2
110	Local	1.51	2885	40	4356.35	1.6	4616
111	Key	1.06	11695	38	12396.7	1.6	18712
112	Local	2.98	1367	13	4073.66	1.6	2187.2
114	Local	0.83	483	1	400.89	1.6	772.8
116	Key	0.88	5077	26	4467.76	1.6	8123.2
117	Key	0.73	4584	38	3346.32	1.6	7334.4
119	Local	2.16	1101	10	2378.16	1.6	1761.6
120	Local	1.18	3071	20	3623.78	1.6	4913.6
121	Commuter	1.1	443	1	487.3	3.65	1616.95
131	Local	3.12	633	5	1974.96	1.6	1012.8
132	Local	2.49	796	3	1982.04	1.6	1273.6
134	Local	2.21	2186	18	4831.06	1.6	3497.6
136	Local	3.18	1076	16	3421.68	1.6	1721.6
137	Local	2.91	1028	11	2991.48	1.6	1644.8
170	Commuter	5.56	87	22	483.72	3.65	317.55
171	Commuter	3.23	38	0	122.74	3.65	138.7
210	Local	3.06	807	6	2469.42	1.6	1291.2
211	Local	2.72	890	3	2420.8	1.6	1424
212	Local	2.62	268	3	702.16	1.6	428.8
214	Local	1.35	1371	6	1850.85	1.6	2193.6
215	Local	2.3	1668	8	3836.4	1.6	2668.8
216	Local	2.65	1204	13	3190.6	1.6	1926.4
217	Local	7.19	223	8	1603.37	1.6	356.8
220	Local	3.92	1512	6	5927.04	1.6	2419.2
221	Local	3.55	105	1	372.75	1.6	168
222	Local	2.99	1605	7	4798.95	1.6	2568
225	Local	1.86	2859	15	5317.74	1.6	4574.4
230	Local	3.3	1532	12	5055.6	1.6	2451.2
236	Local	3.56	597	2	2125.32	1.6	955.2
238	Local	2.15	1894	7	4072.1	1.6	3030.4
240	Local	2.68	2840	13	7611.2	1.6	4544
245	Local	4.2	551	28	2314.2	1.6	881.6
325	Express	7.17	289	8	2072.13	3.65	1054.85
326	Express	3.87	471	8	1822.77	3.65	1719.15
350	Local	3.36	1849	21	6212.64	1.6	2958.4
351	Commuter	6.33	246	11	1557.18	3.65	897.9
352	Express	3.14	382	11	1199.48	5.25	2005.5
354	Express	5.16	764	40	3942.24	5.25	4011
411	Local	1.91	1181	39	2255.71	1.6	1889.6
424	Commuter	2.35	225	3	528.75	3.65	821.25
426	Local	2.14	2006	334	4292.84	1.6	3209.6
428	Commuter	3.5	171	7	598.5	3.65	624.15
429	Local	3.11	1559	16	4848.49	1.6	2494.4
430	Local	2.37	1228	26	2910.36	1.6	1964.8
431	Local	1.74	141	2	245.34	1.6	225.6
434	Express	2.17	75	1	162.75	3.65	273.75
435	Local	4.22	767	11	3236.74	1.6	1227.2
436	Local	4.44	790	790	3507.6	1.6	1264
439	Commuter	9.76	88	5	858.88	3.65	321.2
441	Local	1.86	1442	8	2682.12	1.6	2307.2
442	Local	1.8	2112	45	3801.6	1.6	3379.2
448	Commuter	4.47	162	9	724.14	3.65	591.3
449	Commuter	4.71	181	7	852.51	3.65	660.65
450	Local	2.6	1549	20	4027.4	1.6	2478.4
451	Local	6.34	323	25	2047.82	1.6	516.8
455	Local	1.47	1797	20	2641.59	1.6	2875.2
456	Local	3.38	259	3	875.42	1.6	414.4
459	Local	2.75	1085	16	2983.75	1.6	1736
465	Local	4.9	348	87	1705.2	1.6	556.8
468	Local	5.89	30	3	176.7	1.6	48
501	Express	2.68	1639	18	4392.52	3.65	5982.35
502	Express	1.34	1180	16	1581.2	3.65	4307
503	Express	3.45	347	9	1197.15	3.65	1266.55
504	Express	3.23	1452	19	4689.96	3.65	5299.8
505	Express	3.95	1042	15	4115.9	5.25	5470.5
553	Local	3.23	789	34	2548.47	1.6	1262.4
554	Local	4.95	618	14	3059.1	1.6	988.8
556	Commuter	3.66	490	4	1793.4	3.65	1788.5
558	Commuter	4.11	407	7	1672.77	3.65	1485.55
714	Local	2.55	228	4	581.4	1.6	364.8
716	Local	4.19	106	1	444.14	1.6	169.6
201.202	Local	2.26	1582	22	3575.32	1.6	2531.2
712.713	Local	2.72	1597	27	4343.84	1.6	2555.2
CT1	Local	0.94	2261	33	2125.34	1.6	3617.6
CT2	Local	1.8	2580	31	4644	1.6	4128
CT3	Local	5.11	708	17	3617.88	1.6	1132.8
